gid,ply,spend
qMUr3uIZ,32,23.0
H3NoySKQ,36,8.0
cc119995022734,26,10.8
cc121527603814,43,10.7
l1LxrgkU,46,10.0
cc120304191716,37,13.2
10dzIhFk,30,9.0
N51pNqum,25,18.0
L7vEa2Jm,27,13.0
eSTuhx0V,50,30.0
e7By3vE7,58,8.0
ekAm8DGG,26,16.0
znPCXCzV,33,11.0
3ZLHVBRE,34,20.0
cc119701235252,30,19.7
qf3idKN9,32,49.0
2nAn83Ne,29,25.0
3SZ7Ixxs,26,13.0
PkQXpx9r,28,16.0
71zZ8BNL,33,19.0
E8DLOXrV,42,12.0
agBFvb0G,29,20.0
Wu8jWYZr,31,8.0
YGkJlW3k,51,10.0
Us2nY3PT,46,10.0
xX0WFPQO,26,14.0
cc119488467640,37,14.0
cc119488467640,31,19.1
TN9YFFrJ,36,24.0
g5nCgpNT,27,10.0
cc121428017132,31,8.5
cc120812453264,36,21.2
mhT1tHc8,34,8.0
cc119992036788,26,11.4
vn5s7kYl,29,23.0
cc119510325482,51,14.3
cc119477017816,39,18.0
tnejLCLn,29,34.0
StJTkazh,37,18.0
tdAPnYwr,55,8.0
jEfOuEUZ,29,38.0
cc120696318512,29,23.9
HvN7llS7,59,11.0
sdxArMHL,26,15.0
PbFbms0k,31,11.0
0UgywMKV,27,22.0
lH5piLQK,27,17.0
SSmYyehz,39,34.0
brje8I1g,40,23.0
cc120832899760,45,17.9
UlL9N40C,38,8.0
3ZLHVBRE,26,11.0
cc165384373242,37,8.9
O8pznSFi,50,14.0
1MRcDVrP,63,25.0
Y3djPJm1,43,8.0
cc121278356096,46,8.7
1SLWTKoL,48,11.0
t2mfqMf3,27,23.0
